Author1,Author2,A,B,C,D (Answer),Analogy
中西 モトオ,キャロリン キーン,鬼人幻燈抄 幕末編 天邪鬼の理,鬼人幻燈抄 明治編 夏宵蜃気楼,古時計の秘密,バンガローの事件―ナンシー・ドルー・ミステリ,(鬼人幻燈抄 幕末編 天邪鬼の理 : 鬼人幻燈抄 明治編 夏宵蜃気楼) = (古時計の秘密 : ?)
瀬尾幸子,藤河 るり,もう一軒 おつまみ横丁-さらにおいしい酒の肴,はじめてでもおいしく作れる きほんの料理事典,黒猫はしっぽで甘える,元気になるシカ! アラフォーひとり暮らし、告知されました,(もう一軒 おつまみ横丁-さらにおいしい酒の肴 : はじめてでもおいしく作れる きほんの料理事典) = (黒猫はしっぽで甘える : ?)
神永 正博,高野 真名,「超」入門 微分積分,学力低下は錯覚である,真夜中のキミに恋をささやく,初恋エトセトラ,(「超」入門 微分積分 : 学力低下は錯覚である) = (真夜中のキミに恋をささやく : ?)
松本 隆,袴田 めら,成層圏紳士,小説 微熱少年,この願いが叶うなら,理由,(成層圏紳士 : 小説 微熱少年) = (この願いが叶うなら : ?)
中桐 啓貴,大川 悦生,ほったらかしでも1億円の資産を生む株式・投資信託の始め方,会社勤めでお金持ちになる人の考え方・投資のやり方―「投資」と「給料」で着実にお金を増やす方法,つるのあねさ,ねずみのすもう,(ほったらかしでも1億円の資産を生む株式・投資信託の始め方 : 会社勤めでお金持ちになる人の考え方・投資のやり方―「投資」と「給料」で着実にお金を増やす方法) = (つるのあねさ : ?)
鈴木大介,北里千寿,家のない少年たち 親に望まれなかった少年の容赦なきサバイバル,最貧困女子,私のこと嫌いって言いましたよね!?変態公爵による困った溺愛結婚生活II,私のこと嫌いって言いましたよね!?変態公爵による困った溺愛結婚生活 V,(家のない少年たち 親に望まれなかった少年の容赦なきサバイバル : 最貧困女子) = (私のこと嫌いって言いましたよね!?変態公爵による困った溺愛結婚生活II : ?)
ハイブロー武蔵,黒木 亮,ハイブロー読書術: 読めば読むほどツイてくる本の話,ポチ・たまと読むなりたい自分になれる魔法の習慣,カラ売り屋,アジアの隼,(ハイブロー読書術: 読めば読むほどツイてくる本の話 : ポチ・たまと読むなりたい自分になれる魔法の習慣) = (カラ売り屋 : ?)
松谷 みよ子,どい かや,あそびましょ,講談社のおはなし絵本館,ことりのピチコ,トイちゃんとミーミーとナーナー,(あそびましょ : 講談社のおはなし絵本館) = (ことりのピチコ : ?)
マイク レズニック,北崎 拓,第二の接触,パラダイス: 楽園と呼ばれた星,さくらんぼシンドローム 3―クピドの悪戯,このSを、見よ!,(第二の接触 : パラダイス: 楽園と呼ばれた星) = (さくらんぼシンドローム 3―クピドの悪戯 : ?)
"ヘッセ,高橋 健二",猪谷 千香,知と愛,車輪の,日々、きものに割烹着,町の未来をこの手でつくる 紫波町オガールプロジェクト,(知と愛 : 車輪の) = (日々、きものに割烹着 : ?)
春江 一也,ひうら さとる,僕が愛した歌声,カリナン,貴族探偵,ホタル ノ ヒカリ,(僕が愛した歌声 : カリナン) = (貴族探偵 : ?)
はなげのまい,芝村 裕吏,兄貴の友達【電子特典付き】,【Amazon.co.jp限定】【期間限定】(特典:平和組スマホ壁紙3種(天城、香取、山崎)) 高良くんと天城くん,マージナル・オペレーション,マージナル・オペレーション [F2],(兄貴の友達【電子特典付き】 : 【Amazon.co.jp限定】【期間限定】(特典:平和組スマホ壁紙3種(天城、香取、山崎)) 高良くんと天城くん) = (マージナル・オペレーション : ?)
野中 ともそ,太田 忠司,チェリ-,宇宙でいちばんあかるい屋根,天国の破片,銀扇座事件,(チェリ- : 宇宙でいちばんあかるい屋根) = (天国の破片 : ?)
森恒二,西沢 直木,ホーリーランド,【期間限定 無料お試し版】自殺島,SQLite入門 第2版,PHPによるWebアプリケーションスーパーサンプル 第2版,(ホーリーランド : 【期間限定 無料お試し版】自殺島) = (SQLite入門 第2版 : ?)
岩原 裕二,夕倉アキ,【新装版】クレバテス-魔獣の王と赤子と屍の勇者-,地球美紗樹,いとしいぼくら,スプーンが曲がったら【ペーパー付】【電子限定ペーパー付】,(【新装版】クレバテス-魔獣の王と赤子と屍の勇者- : 地球美紗樹) = (いとしいぼくら : ?)
塩田 武士,真木 悠介,騙し絵の牙,盤上のアルファ,自我の起原: 愛とエゴイズムの動物社会学,時間の比較社会学,(騙し絵の牙 : 盤上のアルファ) = (自我の起原: 愛とエゴイズムの動物社会学 : ?)
トーマス・フリードマン,佐藤 彰一,フラット化する世界 下: 経済の大転換と人間の未来,フラット化する世界 上: 経済の大転換と人間の未来,中世初期フランス地域史の研究,剣と清貧のヨーロッパ - 中世の騎士修道会と托鉢修道会,(フラット化する世界 下: 経済の大転換と人間の未来 : フラット化する世界 上: 経済の大転換と人間の未来) = (中世初期フランス地域史の研究 : ?)
上田 秀人,ワタナベ マキ,本意に非ず,遺恨の譜: 勘定吟味役異聞,疲れないからだになる鉄分ごはん,旬菜ごよみ365日: 季節の味を愛しむ日々とレシピ,(本意に非ず : 遺恨の譜: 勘定吟味役異聞) = (疲れないからだになる鉄分ごはん : ?)
矢沢 久雄,里つばめ,プログラムはなぜ動くのか 第2版 知っておきたいプログラムの基礎知識,プログラミングのセオリー,風待ち休暇,GAPS apples and oranges 【電子限定カラー】,(プログラムはなぜ動くのか 第2版 知っておきたいプログラムの基礎知識 : プログラミングのセオリー) = (風待ち休暇 : ?)
六堂 葉月,武田 美穂,眠らないケダモノ,この腕いっぱいの愛をキミに,ますだくんの1ねんせい日記,こわいドン,(眠らないケダモノ : この腕いっぱいの愛をキミに) = (ますだくんの1ねんせい日記 : ?)
上村 佑,広瀬 寿子,守護天使,セイギのチカラ〜アングラサイトに潜入せよ!,ひかりの森のフクロウ,かくれ森の木,(守護天使 : セイギのチカラ〜アングラサイトに潜入せよ!) = (ひかりの森のフクロウ : ?)
山本 譲司,山野 りんりん,獄窓記,刑務所しか居場所がない人たち : 学校では教えてくれない、障害と犯罪の話,はにーすぃーとティータイム,はにーすぃーとティータイム珈流編,(獄窓記 : 刑務所しか居場所がない人たち : 学校では教えてくれない、障害と犯罪の話) = (はにーすぃーとティータイム : ?)
秋本 治,遠山 啓,両さんの地理大達人,こちら葛飾区亀有公園前派出所,現代数学入門,数学入門,(両さんの地理大達人 : こちら葛飾区亀有公園前派出所) = (現代数学入門 : ?)
ケルスティン・ギア,広瀬 隆,黄色の扉は永遠の階,紅玉は終わりにして始まり,ジョン・ウェインはなぜ死んだか,恐怖の放射性廃棄物 プルトニウム時代の終り,(黄色の扉は永遠の階 : 紅玉は終わりにして始まり) = (ジョン・ウェインはなぜ死んだか : ?)
ブランドン サンダースン,池上 英洋,ミストスピリット―霧のうつし身,ミストスピリット,「失われた名画」の展覧会,ルネサンス 歴史と芸術の物語,(ミストスピリット―霧のうつし身 : ミストスピリット) = (「失われた名画」の展覧会 : ?)
高野 宮子,中島京子,スプリング・ヒルの住人,便利屋稼業―完全版,女中譚,ゴースト,(スプリング・ヒルの住人 : 便利屋稼業―完全版) = (女中譚 : ?)
子安 美知子,山崎 ナオコーラ,シュタイナー教育を考える,ミュンヘンの中学生,論理と感性は相反しない,「『ジューシー』ってなんですか?」,(シュタイナー教育を考える : ミュンヘンの中学生) = (論理と感性は相反しない : ?)
北川 歩実,山形 浩生,もう一人の私,長く冷たい眠り,集客,山形道場―社会ケイザイの迷妄に喝!,(もう一人の私 : 長く冷たい眠り) = (集客 : ?)
佐藤 愛子,加賀美 雅之,こんな女もいる,院長の恋,加賀美雅之未収録作品集,監獄島,(こんな女もいる : 院長の恋) = (加賀美雅之未収録作品集 : ?)
日下 孝秋,カズオ イシグロ,オレンジニアな日々,熱病,夜想曲集: 音楽と夕暮れをめぐる五つの物語,充たされざる者,(オレンジニアな日々 : 熱病) = (夜想曲集: 音楽と夕暮れをめぐる五つの物語 : ?)
矢崎 存美,花房 観音,ぶたぶた日記,再びのぶたぶた,花祀り,京都に女王と呼ばれた作家がいた 山村美紗とふたりの男,(ぶたぶた日記 : 再びのぶたぶた) = (花祀り : ?)
花村 萬月,アサウラ,♂♀,希望,ファング・オブ・アンダードッグ,ベン・トー 5.,(♂♀ : 希望) = (ファング・オブ・アンダードッグ : ?)
北川 歩実,マーク・ミラー,長く冷たい眠り,運命の鎖 the geneticfuture,シビル・ウォー,ネメシス,(長く冷たい眠り : 運命の鎖 the geneticfuture) = (シビル・ウォー : ?)
吉村 明美,池上 正子,カナリア―吉村明美セレクション,薔薇のために,ラクラク、おいしい! 下味冷凍ワザあり便利帳,野菜たっぷり! 下味冷凍パスタ,(カナリア―吉村明美セレクション : 薔薇のために) = (ラクラク、おいしい! 下味冷凍ワザあり便利帳 : ?)
私屋 カヲル,石田スイ,少年三白眼,パパはダンディー,東京喰種トーキョーグール リマスター版【期間限定無料】,東京喰種トーキョーグール 300P超!【期間限定無料】,(少年三白眼 : パパはダンディー) = (東京喰種トーキョーグール リマスター版【期間限定無料】 : ?)
奈々巻 かなこ,鳩山 郁子,港町猫町,迷子、かもしれない。,ダゲレオタイピスト: 銀板写真師,青い菊,(港町猫町 : 迷子、かもしれない。) = (ダゲレオタイピスト: 銀板写真師 : ?)
野呂 邦暢,F.W.クロフツ,愛についてのデッサン ――野呂邦暢作品集,野呂邦暢 古本屋写真集,二つの密室,クロフツ短編集,(愛についてのデッサン ――野呂邦暢作品集 : 野呂邦暢 古本屋写真集) = (二つの密室 : ?)
火浦 功,安田 雪,大暴力,昭和な街角 火浦功作品集,大学生の就職活動: 学生と企業の出会い,パーソナルネットワーク―人のつながりがもたらすもの,(大暴力 : 昭和な街角 火浦功作品集) = (大学生の就職活動: 学生と企業の出会い : ?)
梅田 阿比,村山 早紀,フルセット! volume.,ブルーイッシュ,コンビニたそがれ堂 星に願いを,かなりや荘浪漫 星めざす翼,(フルセット! volume. : ブルーイッシュ) = (コンビニたそがれ堂 星に願いを : ?)
内田 広由紀,榊一郎,7日間でマスターするレイアウト基礎講座,基本はかんたん人物画,その男、魔法使い“A”,その男、魔法使い”A”,(7日間でマスターするレイアウト基礎講座 : 基本はかんたん人物画) = (その男、魔法使い“A” : ?)
篠田 秀幸,池上　永一,帝銀村の殺人,悪夢街の殺人,テンペスト 第一巻 春雷,トロイメライ 唄う都は雨のち晴れ,(帝銀村の殺人 : 悪夢街の殺人) = (テンペスト 第一巻 春雷 : ?)
わかつき ひかる,遠藤 浅蜊,天使はいつも忙しい,My姫 なごみ,魔法少女育成計画 limited,このマンガがすごい! Comics 魔法少女育成計画F2P,(天使はいつも忙しい : My姫 なごみ) = (魔法少女育成計画 limited : ?)
甲山 蓮子,北川 みゆき,極妻のススメ,純愛志願,罪に濡れたふたり〔小学館文庫〕,罪に濡れたふたり―Kasumi,(極妻のススメ : 純愛志願) = (罪に濡れたふたり〔小学館文庫〕 : ?)
朱鷺田 祐介,辰濃 和男,退魔生徒会万聖節前夜―Replay:真・女神転生TRPG魔都東京200X,退魔生徒会京都百鬼行―Replay:真・女神転生TRPG魔都東京200X,歩き遍路―土を踏み風に祈る。それだけでいい。,文章のみがき方,(退魔生徒会万聖節前夜―Replay:真・女神転生TRPG魔都東京200X : 退魔生徒会京都百鬼行―Replay:真・女神転生TRPG魔都東京200X) = (歩き遍路―土を踏み風に祈る。それだけでいい。 : ?)
左京 亜也,中島 らも,クロネコ彼氏のあるき方,ネコ科彼氏のあやし方,あの娘は石ころ,永遠も半ばを過ぎて,(クロネコ彼氏のあるき方 : ネコ科彼氏のあやし方) = (あの娘は石ころ : ?)
最果 タヒ,梅津 信幸,星か獣になる季節,死んでしまう系のぼくらに,あなたはコンピュータを理解していますか? 10年後、20年後まで必ず役立つ根っこの部分がきっちりわかる!,仕事を加速する技術,(星か獣になる季節 : 死んでしまう系のぼくらに) = (あなたはコンピュータを理解していますか? 10年後、20年後まで必ず役立つ根っこの部分がきっちりわかる! : ?)
森見登美彦,リオナ,聖なる怠け者の冒険,四畳半王国見聞録,推しを愛でてただけなのに,【電子限定おまけ付き】 恋をするにはイケメンすぎる,(聖なる怠け者の冒険 : 四畳半王国見聞録) = (推しを愛でてただけなのに : ?)
板垣巴留,たから しげる,BEASTARS 1【期間限定 無料お試し版】,BEASTARS,たそがれ団地物語 ふたご桜のひみつ,ねこがおしえてくれたよ,(BEASTARS 1【期間限定 無料お試し版】 : BEASTARS) = (たそがれ団地物語 ふたご桜のひみつ : ?)
長田 悠幸,北川 みゆき,トト!the wonderful adventure,TRIBAL,罪に濡れたふたり―Kasumi,真夏の夜の微熱,(トト!the wonderful adventure : TRIBAL) = (罪に濡れたふたり―Kasumi : ?)
柏井 壽,北里千寿,おひとり京都の春めぐり,鴨川食堂はんなり,私のこと嫌いって言いましたよね!?変態公爵による困った溺愛結婚生活III,私のこと嫌いって言いましたよね!?変態公爵による困った溺愛結婚生活VI,(おひとり京都の春めぐり : 鴨川食堂はんなり) = (私のこと嫌いって言いましたよね!?変態公爵による困った溺愛結婚生活III : ?)
望月 峯太郎,砧 菜々,万祝<まいわい>,座敷女,正しい先輩のオトし方,仏蘭西式骨董生活,(万祝<まいわい> : 座敷女) = (正しい先輩のオトし方 : ?)
内藤 正典,藤沢 周平,ヨーロッパとイスラーム,イスラムの怒り,用心棒日月抄,橋ものがたり 新装版,(ヨーロッパとイスラーム : イスラムの怒り) = (用心棒日月抄 : ?)
広瀬 隆,下等 妙人,赤い楯 ロスチャイルドの謎,FUKUSHIMA 福島原発メルトダウン,史上最強の大魔王、村人Aに転生する 6.元・村人A,史上最強の大魔王、村人Aに転生する 3. 大英雄のカタストロフィ,(赤い楯 ロスチャイルドの謎 : FUKUSHIMA 福島原発メルトダウン) = (史上最強の大魔王、村人Aに転生する 6.元・村人A : ?)
松本 次郎,開高 健,フリージア,ウエンディ,開口閉口,風に訊け ザ・ラスト,(フリージア : ウエンディ) = (開口閉口 : ?)
イーデン・フィルポッツ,じのん,溺死人,灰色の部屋,In Da Room,境界,(溺死人 : 灰色の部屋) = (In Da Room : ?)
白鳥 士郎,Dr.天,のうりん,らじかるエレメンツ,うちのマリちゃん,発展途上lovers,(のうりん : らじかるエレメンツ) = (うちのマリちゃん : ?)
オースン・スコット・カード,ルーシー カズンズ,ソングマスター,死者の代弁者,メイシーちゃんなににのっていくの?,メイシーちゃんのさがしもの,(ソングマスター : 死者の代弁者) = (メイシーちゃんなににのっていくの? : ?)
岡崎 琢磨,せな けいこ,Butterfly World 最後の六日間,鏡の国,めがねうさぎ,おひさまとおつきさまのけんか,(Butterfly World 最後の六日間 : 鏡の国) = (めがねうさぎ : ?)
ハセガワ ケイスケ,所 十三,天〓きゅう〓のカムイ,カーテンコールが鳴る前に。 school girl babyish,AL 2―THE WHITE TRICERATOPS,AL 3―THE WHITE TRICERATOPS,(天〓きゅう〓のカムイ : カーテンコールが鳴る前に。 school girl babyish) = (AL 2―THE WHITE TRICERATOPS : ?)
ブライアン・マイケル・ベンディス,水瀬葉月,ニューアベンジャーズ:セントリー,X-MEN/アベンジャーズ ハウス・オブ・M,藍坂素敵な症候群,課外活動サバイバルメソッド,(ニューアベンジャーズ:セントリー : X-MEN/アベンジャーズ ハウス・オブ・M) = (藍坂素敵な症候群 : ?)
清水 ミチコ,秀香穂里,カニカマ人生論,私の10年日記,オタク王子とアキバで恋を,堕ちゆく者の記録,(カニカマ人生論 : 私の10年日記) = (オタク王子とアキバで恋を : ?)
岩木 一麻,内田 樹,時限感染 殺戮のマトリョーシカ,がん消滅の罠 暗殺腫瘍,態度が悪くてすみません ――内なる「他者」との出会い,日本の身体,(時限感染 殺戮のマトリョーシカ : がん消滅の罠 暗殺腫瘍) = (態度が悪くてすみません ――内なる「他者」との出会い : ?)
香菜子,羽純 ハナ,ハピネスドリル,普段着BOOK,プチミニョン,カドル,(ハピネスドリル : 普段着BOOK) = (プチミニョン : ?)
田名部 宗司,柳澤 健,幕末魔法士-Mage Revolution-,幕末魔法士III -The eastern beast-,1993年の女子プロレス,1976年のアントニオ猪木,(幕末魔法士-Mage Revolution- : 幕末魔法士III -The eastern beast-) = (1993年の女子プロレス : ?)
藤原 緋沙子,井上荒野,紅梅: 浄瑠璃長屋春秋記,さくら道―隅田川御用帳,赤へ,照子と瑠衣,(紅梅: 浄瑠璃長屋春秋記 : さくら道―隅田川御用帳) = (赤へ : ?)
室山 まゆみ,ジョー・R. ランズデール,あさりちゃん in パリ,あさりちゃん リベンジ,モンスター・ドライヴイン,サンセット・ヒート,(あさりちゃん in パリ : あさりちゃん リベンジ) = (モンスター・ドライヴイン : ?)
本田直之,坂井 朱生,本田式サバイバル・キャリア術,Live Simply: シンプルに生きるための162のコトバ,惑わない瞳,そんなの気にしない,(本田式サバイバル・キャリア術 : Live Simply: シンプルに生きるための162のコトバ) = (惑わない瞳 : ?)
みやこし あきこ,加藤 実秋,たいふうがくる,よるのかえりみち,チョコレートビースト インディゴの夜,チョコレートビースト―インディゴの夜,(たいふうがくる : よるのかえりみち) = (チョコレートビースト インディゴの夜 : ?)
柏葉 幸子,秋田 禎信,りんご畑の特別列車,竜が呼んだ娘,魔術士オーフェンはぐれ旅 魔王編,ベティ・ザ・キッド,(りんご畑の特別列車 : 竜が呼んだ娘) = (魔術士オーフェンはぐれ旅 魔王編 : ?)
"久部 緑郎,河合 単",梨屋 アリエ,ラーメン発見伝: 札幌ラーメン・夏の陣,ラーメン発見伝: 塩の秘密,スノウ・ティアーズ,きみのためにはだれも泣かない,(ラーメン発見伝: 札幌ラーメン・夏の陣 : ラーメン発見伝: 塩の秘密) = (スノウ・ティアーズ : ?)
すずはら 篠,アントワーヌ・ド サン=テグジュペリ,デッドライト,春序音,小さな王子さま,夜間飛行,(デッドライト : 春序音) = (小さな王子さま : ?)
長月 達平,西村 悠,Re:ゼロから始める異世界生活,Re:ゼロから始める異世界生活 短編集,妄想ジョナさん。,幻想症候群,(Re:ゼロから始める異世界生活 : Re:ゼロから始める異世界生活 短編集) = (妄想ジョナさん。 : ?)
俵 万智,ユキヲ,チョコレート革命,サラダ記念日,まりかちゃん乙,武蔵野線の姉妹,(チョコレート革命 : サラダ記念日) = (まりかちゃん乙 : ?)
神津 凛子,"山岡 道男,淺野 忠克",わたしを永遠に眠らせて,サイレント 黙認,アメリカの高校生が読んでいる資産運用の教科書,アメリカの高校生が読んでいる起業の教科書,(わたしを永遠に眠らせて : サイレント 黙認) = (アメリカの高校生が読んでいる資産運用の教科書 : ?)
沢木 耕太郎,魔夜峰央,深夜特急,一号線を北上せよ,親バカ日誌,親バカの壁,(深夜特急 : 一号線を北上せよ) = (親バカ日誌 : ?)
ダン シモンズ,新井 満,遥かなる地平 2: SFの殿堂,ハイペリオンの没落,般若心経: 自由訳,にちようびだゾウ!,(遥かなる地平 2: SFの殿堂 : ハイペリオンの没落) = (般若心経: 自由訳 : ?)
鮎川 はぎの,梨屋 アリエ,ブラッディ・ハニー,聖グリセルダ学院の試練,きみのためにはだれも泣かない,雲のはしご,(ブラッディ・ハニー : 聖グリセルダ学院の試練) = (きみのためにはだれも泣かない : ?)
有吉 与志恵,港 千尋,アスリートのためのコアトレ―100のエクササイズ12の処方箋,アスリートのためのコアトレ,文字の母たち Le Voyage Typographique,インフラグラム 映像文明の新世紀,(アスリートのためのコアトレ―100のエクササイズ12の処方箋 : アスリートのためのコアトレ) = (文字の母たち Le Voyage Typographique : ?)
緋呂河 とも,加藤 和恵,ソードアート・オンライン -ホロウ・リアリゼーション-,チェリーコンチェルト,ロボとうさ吉,営繕かるかや怪異譚,(ソードアート・オンライン -ホロウ・リアリゼーション- : チェリーコンチェルト) = (ロボとうさ吉 : ?)
水生 大海,果桃 なばこ,熱望,少女たちの羅針盤,占い師の憂鬱,Love cafe?,(熱望 : 少女たちの羅針盤) = (占い師の憂鬱 : ?)
高瀬 彼方,椋 鳩十,天魔の羅刹兵-紅道譚,ディバイデッド・フロント,太郎とクロ,白い鳥,(天魔の羅刹兵-紅道譚 : ディバイデッド・フロント) = (太郎とクロ : ?)
本仁 戻,玉岡 かがり,耽美主義,探偵青猫,ダブルナイト,まんがーる!,(耽美主義 : 探偵青猫) = (ダブルナイト : ?)
市川 宣子,"アネッテ ランゲン,コンスタンツァ ドロープ",ケータイくんとフジワラさん,みんなのおばけ小学校,フェリックスの手紙,フェリックスのクリスマス・プレゼント,(ケータイくんとフジワラさん : みんなのおばけ小学校) = (フェリックスの手紙 : ?)
